source,target,value
Pleasant Hill,Malus,200
Pleasant Hill,Pyrus calleryana,11
Pleasant Hill,Tilia cordata,7
Polk City,Acer platanoides,4
Polk City,Acer rubrum,9
Polk City,Acer saccharum,3
Polk City,Fraxinus pennsylvanica,12
Polk City,Malus,55
Prairie City,Acer platanoides,16
Prairie City,Acer rubrum,14
Prairie City,Acer saccharinum,33
Prairie City,Acer saccharum,26
Prairie City,Gleditsia triacanthos,5
Prairie City,Malus,11
Redfield,Acer platanoides,5
Redfield,Acer rubrum,6
Redfield,Acer saccharinum,17
Redfield,Fraxinus pennsylvanica,15
Redfield,Gleditsia triacanthos,7
Redfield,Malus,20
Redfield,Tilia cordata,1
Runnells,Acer platanoides,2
Runnells,Acer rubrum,6
Runnells,Acer saccharinum,11
Runnells,Acer saccharum,1
Runnells,Fraxinus pennsylvanica,12
Runnells,Malus,3
Runnells,Tilia cordata,1
SandySprings,Acer rubrum,7
SandySprings,Acer saccharum,1
Scottdale,Acer rubrum,11
Stuart,Acer platanoides,50
Stuart,Acer rubrum,13
Stuart,Acer saccharinum,58
Stuart,Acer saccharum,94
Stuart,Fraxinus pennsylvanica,94
Stuart,Gleditsia triacanthos,18
Stuart,Malus,8
Stuart,Tilia cordata,6
Sully,Acer platanoides,7
Sully,Acer rubrum,6
Sully,Acer saccharinum,21
Sully,Acer saccharum,22
Sully,Fraxinus pennsylvanica,20
Sully,Gleditsia triacanthos,11
Sully,Malus,3
Sully,Tilia cordata,7
Unincorporated,Acer platanoides,3
Unincorporated,Acer rubrum,33
Unincorporated,Acer saccharum,4
Unincorporated,Fraxinus pennsylvanica,11
Union,Acer platanoides,19
Union,Acer rubrum,4
Union,Acer saccharinum,15
Union,Acer saccharum,47
Union,Gleditsia triacanthos,2
Union,Malus,7
Union,Pyrus calleryana,1
Union,Tilia cordata,2
Van Meter,Acer platanoides,3
Van Meter,Acer saccharinum,6
Van Meter,Acer saccharum,11
Van Meter,Fraxinus pennsylvanica,3
Van Meter,Gleditsia triacanthos,1
Van Meter,Malus,3
Waukee,Acer platanoides,40
Waukee,Acer rubrum,49
Waukee,Acer saccharinum,35
Waukee,Acer saccharum,27
Waukee,Fraxinus pennsylvanica,218
Waukee,Gleditsia triacanthos,103
Waukee,Malus,200
Waukee,Tilia cordata,122
Windsor Heights,Acer platanoides,6
Windsor Heights,Acer rubrum,1
Windsor Heights,Acer saccharinum,16
Windsor Heights,Acer saccharum,17
Windsor Heights,Fraxinus pennsylvanica,39
Windsor Heights,Gleditsia triacanthos,22
Windsor Heights,Malus,25
Windsor Heights,Pyrus calleryana,5
Windsor Heights,Tilia cordata,1
Woodward,Acer platanoides,81
Woodward,Acer rubrum,5
Woodward,Acer saccharinum,105
Woodward,Acer saccharum,5
Woodward,Fraxinus pennsylvanica,49
Woodward,Gleditsia triacanthos,15
Woodward,Malus,26
Woodward,Pyrus calleryana,1
Woodward,Tilia cordata,12
